@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.3745000000000003,0.2056,1
-0.3825,0,1
-0.7717999999999999,-0.4697,2
0.18539999999999984,0.012,1
-0.4289,-0.1975,2
0.30889999999999995,0,4
0.3112,0.2198,4
1.5493000000000001,0.4324,4
1.8504000000000003,0.6446999999999999,5
-0.6669,0,3
-0.19110000000000005,0.5196,3
-0.17359999999999998,0.2358,3
3.7658000000000005,1.1098,5
-0.0363,0,5
1.1188,0,4
0.6334,0.2578,2
0.003699999999999981,0,3
-0.0048,-0.0048,1
-0.8167,0,2
-1.1781000000000001,0,1
-0.5251000000000001,-0.0007999999999999995,4
-0.09250000000000003,0,3
0.7434000000000001,0,2
-0.06390000000000004,0.004,3
2.0492999999999997,-0.2036,5
3.082900000000001,-0.33860000000000007,2
0.27470000000000006,0.004,2
-1.1549,-0.331,1
0.5896000000000001,-0.38449999999999995,3
-0.6416000000000001,-0.19510000000000005,3
-0.8934,-0.3129,2
-1.1126,0.004,2
0.2850999999999999,0,4
-0.7099,0,2
2.788700000000001,0.7384000000000001,4
-0.3655999999999999,0.004,3
-1.5144,-0.0007999999999999995,1
2.6988,0.2318,5
0.0711,0,5
0.6227,0,1
-0.407,0,3
0.21430000000000002,-0.45589999999999997,4
1.4243999999999999,0.004,4
0.43520000000000003,0,5
0.3756,0,5
0.31829999999999997,-0.704,1
-1.5593,-0.4521,1
1.2436,0.004,5
0.393,0,4
1.7844000000000004,-0.5428999999999999,5
1.7523,0,4
0.1099,0,5
-2.0342000000000002,-0.9908000000000001,4
0.264,0.2398,1
0.004,0,1
-0.2055,0.004,3
-0.6418999999999999,-0.3353,1
0.33159999999999995,-0.14,4
-4.4254999999999995,0.08479999999999999,4
1.2229,0,5
-0.34950000000000003,0,2
0.3797,0,4
0.9977,0,5
-1.2212000000000003,0.2097,1
0.8768,0,3
0.8916999999999999,0.004,3
-0.0167,0,3
0.12410000000000002,0,4
-0.4530000000000001,-0.024200000000000003,2
0.7093000000000002,0.3251,1
-0.374,0.004,3
-6.722200000000001,-0.46559999999999996,2
-1.3790999999999998,-0.331,2
0.5052,0,1
0.3226,0,5
2.1431,0.6621999999999999,3
-4.993199999999999,-0.26920000000000005,3
0.6593,0,5
0.004,0,5
-0.037200000000000066,-0.5362,2
2.788700000000001,0.7384000000000001,4
-0.6854,0,2
-0.08320000000000002,-0.329,3
0.0161,0,5
-0.536,-0.0048,1
-0.4515,0,2
-0.9052,0.2141,3
0.9077,0.3186,5
1.1120999999999999,0,5
1.0385,-0.174,4
-0.3129,0,1
-0.1327,-0.3089,1
0.3593,0.1014,2
-1.9413999999999993,-0.7095000000000001,3
-0.21050000000000008,0.004,4
-2.2217000000000002,-1.3390000000000002,2
-0.22419999999999993,-0.10920000000000002,2
0.5766,0,1
0.09680000000000001,0.004,4
0.7792,0.004,5
-0.06920000000000004,-0.06920000000000004,1
0,0,4
0.33330000000000004,0.2325,5
-0.5,0,1
-0.33580000000000004,-0.331,1
-1.6838,0.216,3
2.2186,0.09620000000000001,2
-0.493,0,3
1.1842,0,5
0.5195,0,5
-0.9854,0,2
1.3517,0,5
0.6022,0,5
-0.8839000000000001,-0.2598,1
1.3564,0.4756,4
1.6584999999999996,0.4324,3
-0.0817,0.004,1
-1.1045999999999996,-0.0007999999999999995,2
0.008,0.004,1
0.0946,0,3
0.36609999999999965,0.6643999999999999,3
-1.2244999999999997,0.7649,4
-0.37360000000000004,0,1
-0.2675,0,4
1.7352,0.018500000000000016,2
1.3436,0,5
-0.9502999999999999,0.008,3
1.5704,0.5905,2
2.184,0,3
2.2105,0.004,4
-1.7204,0.012,2
4.4822,0.7388999999999999,3
1.3586,-0.4182,5
2.3809,-0.0007999999999999995,4
-0.44139999999999996,0,1
1.7184000000000001,0.004,5
-2.9127,0.0908,4
1.5957999999999999,0,4
